property_id	property_label	description
P11484	does not use	item or concept not used by the subject but that could have been expected
P11485	Infopédia entry	identifier for an entry on Infopédia Portuguese dictionary
P11486	1001Tracklists track ID	identifier for a music track on 1001Tracklists
P11487	1001Tracklists DJ ID	identifier for a disc jockey on 1001Tracklists
P11489	1001Tracklists source ID	identifier for a source (event, radio, etc.) on 1001Tracklists
P11490	MyAnimeList company ID	identifier for a company on MyAnimeList
P11491	member of Roman tribe	Roman tribe in which one was inscribed
P11492	MQWW work ID	work ID of the Ming Qing Women's Writings (MQWW) database
P11493	Biblissima authority ID	identifier of an entity in the Biblissima database
P11494	Kitsu manga ID	identifier for a manga on Kitsu
P11495	Kitsu anime ID	identifier for an anime on Kitsu
P11496	CiNii Research ID	19-digits identifier in CiNii Research
P11497	Digital Library of Mathematical Functions ID	identifier for a function in the NIST Digital Library of Mathematical Functions
P11500	United States House of Representatives ID	ID of a person in United States House of Representatives
P11501	ComicWalker content ID	identifier for a series or a chapter on ComicWalker
P11502	The Numbers franchise ID	identifier of a movie franchise at The Numbers
P11503	Jeju's culture and language ID	ID of a lexeme in Jeju's culture and language
P11504	J-STAGE journal ID	identifier for journal home pages in J-STAGE
P11505	Film.ru serial ID	TV series ID on Film.ru
P11506	IRIS UNITN author ID	identifier for an author in IRIS UNITN, the open-access repository of the University of Trento
P11507	IRIS FBK author ID	identifier for an author in IRIS FBK, the open-access repository of the Fondazione Bruno Kessler
P11508	IRIS-OpenPub author ID	identifier for an author in IRIS-OpenPub, the open-access repository of the Edmund Mach Foundation
P11509	Muse Open Archive author ID	identifier for an author in Muse Open Archive, the open-access repository of the MUSE - Science Museum (Trento, Italy)
P11510	ARCA author ID	identifier for an author in ARCA, the open-access repository of the Ca' Foscari University of Venice
P11511	Air Iuav author ID	identifier for an author in Air Iuav, the open-access repository of the IUAV University of Venice
P11512	Intercontinental Dictionary Series unit ID	identifier of an Intercontinental Dictionary Series unit
P11513	Hungarian Football Federation player ID	player ID on mlsz.hu
P11514	Great Russian Encyclopedia portal ID	identifier of an entry on the web portal based on the Great Russian Encyclopedia and formerly known as "Knowledge" (for the older version of encyclopedia use P2924)
P11515	MangaSeek work ID	identifier for a manga work on MangaSeek
P11516	MangaSeek magazine ID	identifier for a manga magazine on MangaSeek
P11517	MangaSeek award ID	identifier for a manga award on MangaSeek
P11518	Oroklini Library ID	identifier for an authority in the catalogue of the Oroklini Library
P11519	elexiko ID	identifier for a lexeme in the elexiko dictionary
P11520	OWID Neologismenwörterbuch ID	identifier for a lexeme in the Neologismenwörterbuch (Dictionary of Neologisms) at owid.de
P11521	OWID Deutsches Fremdwörterbuch ID	identifier for a lexeme in the German dictionary of foreign words at owid.de
P11522	OWID Sprichwörterbuch ID	identifier for a lexeme in the dictionary of sayings at owid.de
P11523	OWID Kommunikationsverben ID	identifier for a lexeme in the communication verbs dictionary at owid.de
P11524	Kleines Wörterbuch der Verlaufsformen im Deutschen ID	identifier for a lexeme in the Kleines Wörterbuch der Verlaufsformen im Deutschen (Small Dictionary of Progressive Forms in German)
P11525	PR TIMES company ID	identifier for a company on PR TIMES
P11526	Dicionário Priberam ID	identifier for entries on Dicionário Priberam
P11527	applies to use with property	qualifier that specifies that the statement refers to usage with the property
P11528	NPB umpire ID	identifier for umpire on the Nippon Professional Baseball official website
P11529	Magazine Pocket series ID	identifier for a manga on Magazine Pocket
P11530	addons.mozilla.org user	identifier of a user on addons.mozilla.org
P11531	Packagist username	username of the subject on Packagist
P11532	Hackage username	username of the subject on Hackage
P11533	RubyGems username	username of the subject on RubyGems
P11534	PyPI username	username of the subject on PyPI
P11535	Dictionary of Frequently-Used Taiwanese Hokkien ID	ID of a lexeme in Dictionary of Frequently-Used Taiwanese Hokkien (issued prior to its supersession in June 2023 by sutian.moe.edu.tw)
P11536	Ushakov Dictionary ID	identifier for a word in the Толковый словарь русского языка (1935-1940) as hosted on the Fundamental Electronic Library of Russian Literature and Folklore
P11537	Glitchwave franchise ID	identifier for a video game franchise on Glitchwave
P11538	Glitchwave game company ID	identifier for a video game company on Glitchwave
P11539	Glitchwave game ID	identifier for a video game's main entry on Glitchwave
P11540	Glitchwave platform ID	identifier for a gaming platform on Glitchwave
P11541	Glitchwave character ID	identifier for a video game character on Glitchwave
P11542	Artlog artist ID	identifier for a person or artist collective on Artlog
P11543	pixiv comic work ID	identifier for a manga series publicly available on pixiv comic
P11544	pixiv comic product ID	identifier for a manga series sold on pixiv comic
P11545	British Music Collection composer ID	identifier for a composer on the British Music Collection website
P11546	Los Angeles County Medical Examiner's Office Case Search person ID	identifier for a person whose autopsy was conducted by the Los Angeles County Department of Medical Examiner
P11547	Happy Planet Index score	The Happy Planet Index (HPI) is an index of human well-being and environmental impact that was introduced by the New Economics Foundation in 2006
P11548	Roblox experience ID	identifier for a Roblox experience (game) hosted on Roblox
P11549	WW1 fallen/missing soldier ID (MHA)	identifier for a fallen/missing Austrian-Hungarian soldier from the area of later Czechoslovakia in the database of the Czech Military Historical Archive
P11550	RISM siglum	siglum assigned by the Répertoire international des sources musicales to institutions worldwide (libraries, archives and private collections) that hold historical musical materials
P11551	N-Anime anime ID	identifier for an anime on N-Anime
P11552	N-Anime seiyū ID	identifier for a seiyū on N-Anime
P11553	Livres Hebdo author ID	alphanumerical identifier of an author on the Livres Hebdo website
P11554	International Encoded Han Character and Variants Database ID	identifier for a Chinese character on International Encoded Han Character and Variants Database
P11555	Artlog institution ID	identifier for an institution on Artlog
P11556	credits URL	URL of an official webpage with a list of credits and roles attributed to various people, organizations or applications that contribute(d) to this item's existence
P11557	Barcelona City Council Heritage Catalog ID	identifier of a protected element in the architectural heritage register of Barcelona municipality
P11558	digital equivalent of	what the subject is the digital equivalent of
P11559	TikTok place ID	identifier for a place in TikTok
P11562	Jiddisch-Nederlands Woordenboek ID	(on hold until questions of identifier stability are addressed) identifier for a lexeme in the online dictionary hosted by the Stichting Jiddische Lexicografie Amsterdam
P11563	Real Academia de Doctores de España ID	identifier for a member of the Real Academia de Doctores de España
P11564	AllMovie genre ID	identifier for a film or television genre on the AllMovie film database
P11565	authors.gr ID	identifier for a writer who is a member of the Hellenic Authors' Society
P11567	Dictionary of Archives Terminology ID	identifier for an entry in the Society of American Archivists' Dictionary of Archives Terminology
P11570	Database of Photography Books profile ID	numeric identifier for a photographer, writer or publisher on the photography bibliography database Base de Dados de Livros de Fotografia (BDLF)
P11571	ESID	identifier of a street, square or place in the official register of streets in Switzerland.
P11572	DOSBox Compatibility ID	lists games as broken, runnable, playable or supported with given DOSBox versions
P11573	Internet Game Database franchise ID	identifier for a video game franchise on IGDB
P11574	Professional shogi player number	the number assigned to professional shogi players by the Japan Shogi Association
P11575	Bosworth-Toller's Anglo-Saxon Dictionary Online ID	ID of a entry in Bosworth-Toller's Anglo-Saxon Dictionary Online for Old English
P11576	Norwegian war prisoner detention camp ID	identification number in the Norwegian prisoner register 1940 -1945 for a detention camp
P11577	said to be the same as lexeme	some source considers this lexeme to be the same lexeme or a spelling variant of another lexeme
P11578	Qobuz artist numeric ID	numeric identifier for an artist on Qobuz (use as qualifier of P7071, or as reference)
P11580	Sindhi English Dictionary ID	identifier for a word in the online Sindhi-English Dictionary originally supervised by Sarmad Hussain of the Center for Research in Urdu Language Processing
P11581	Dicio ID	identifier for an entry on Dicio Portuguese dictionary
P11582	Dicionário Aulete ID	identifier for an entry on Dicionário Aulete Portuguese dictionary
P11583	GLANSIS ID	identifier for a taxon in the Great Lakes Aquatic Nonindigenous Species Information System (GLANSIS)
P11584	Léxico ID	identifier for entries on Léxico Portuguese dictionary
P11585	ESPN.com tennis player ID	identifier for a tennis player on ESPN.com website
P11586	Encyclopedia of Italian ID	identifier for an entry in the Enciclopedia dell'italiano (Encyclopedia of Italian) on the website of the Institute of the Italian Encyclopaedia
P11587	Iowa legislator ID	identifier for a profile in the Iowa Legislators Past and Present database
P11588	Rate Your Music film genre ID	identifier for a film genre on Rate Your Music
P11589	Fallout Wiki ID	identifier for a Fallout Wiki article
P11590	stamp perforation	type of perforation for a series of stamps
P11591	Museu Paulista iconography ID	unique identifier for items of the iconography collection of Museu Paulista
P11592	Museu Paulista objects ID	unique identifier for items of the objects collection of Museu Paulista
P11593	Inequality-adjusted Human Development Index	Inequality-adjusted Human Development Index (IHDI) value of a country
P11594	Spreaker show ID	numeric identifer for a podcast on Spreaker
P11595	TVer series ID	identifier for a television series on TVer
P11596	TVer tarento ID	identifier for a tarento on TVer
P11597	Padua Research Archive author ID	identifier for an author in Padua Research Archive, the open-access repository of the University of Padua
P11598	Rate Your Music film ID	identifier for a film on Rate Your Music
P11599	Fonts In Use identifier	identifier of a typeface on the typography archive website Fonts In Use
P11600	Rate Your Music venue ID	identifier for a venue on Rate Your Music
P11601	beniculturali.it place ID	identifier for a place on the website of the Italian Ministry of Culture
P11602	Jeju Dialect Dictionary ID	identifier for a Jeju language word in the online dictionary hosted by the Jeju provincial government
P11603	transcribed by	person who has made a copy of a manuscript text
P11604	Soprintendenza di Salerno place ID	identifier for a place on the website of the Soprintendenza Archeologia, belle arti e paesaggio per le province di Salerno e Avellino
P11605	Online Aboriginal Language Dictionary ID	identifier of a lexeme in one of the indigenous languages of Taiwan in the dictionary at e-dictionary.ilrdf.org.tw
P11606	Mosfilm movie ID	movie page in Mosfilm online cinema
P11607	Mosfilm person ID	page of the actor, director, screenwriter in the Mosfilm online cinema
P11608	Adventure Game Studio game ID	identifier of video game project in the Adventure Game Studio database
P11610	National Grid Balancing Mechanism unit ID	Unit identifier for the UK National Grid electricity Balancing Mechanism
P11611	Norwegian media rating	age rating system for motion pictures, video and tv content used in Norway
P11613	SACEM Museum artist ID	identifier for an artist on the SACEM Museum website
P11614	WSJ article ID	unique identifier of an article on The Wall Street Journal
P11615	InfluenceWatch influencer	article on influencewatch.org for person, organization or legislation
P11616	World Sailing sailor ID	official identifier for a sailor in the World Sailing (formerly ISAF) database
P11617	WiKirby ID	identifier for a WiKirby wiki article
P11618	SFMTA ID	identifier for stopplace on the SFMTA (San Francisco) transport network
P11619	Full Fact ID	identifier on the Full Fact website
P11620	Hungarian National Namespace place ID (new)	identifier for a place in the Hungarian National Namespace
P11621	Hungarian National Namespace person ID (new)	identifier for a person in the Hungarian National Namespace
P11622	Rate Your Music concert ID	identifier for a concert on Rate Your Music
P11623	NCI Drug Dictionary ID	identifier of an entry in the NCI Drug Dictionary
P11624	HAA member ID	identifier of the data-sheet of members of the Hungarian Art Academy
P11625	Spotify user ID	identifier for a Spotify user profile, usually representing a person or organization
P11626	Vintage Fashion Guild label	label identifier on the Vintage Fashion Guild website
P11627	Lighthouse Directory page	group string for the item in The Lighthouse Directory
P11628	Biographical Dictionary of Emigrants of Georgia ID	identifier for a person in the Biographical Dictionary of Emigrants of Georgia
P11629	Fréjus et Toulon ID	identifier for a cleric on the website of the Fréjus and Toulon diocesan archives
P11630	Swiss Games Garden game ID	identifier of a video game in the Swiss Games Garden database
P11631	ERA ID	identifier of an operational point for the European Union Agency for Railways
P11632	Sky News topic ID	identifier for a topic on the Sky News website
P11633	colocated with	event sharing location, facility or organization with another, typically larger event
P11634	Russian Second League player ID	identifier for a player at the Russian Second League
P11635	Modrinth project ID	identifier for a project on the Modrinth website
P11636	Akademi Kernewek ID	identifier for Cornish place names database entry
P11637	Wattpad username	identifier for a Wattpad user profile, usually representing a person or alternatively an organization
P11638	The Counted person ID	identifier for a person in The Counted database created by The Guardian
P11639	L’Équipe team ID	identifier for a sports team in the L’Équipe database
P11640	Hart Island Project person ID	identifier for a person buried in New York's City Cemetery on Hart Island, Bronx, New York
P11641	explain xkcd ID	identifier for an explain xkcd article
P11642	La grammatica italiana ID	identifier for an item in La grammatica italiana on the website of the Institute of the Italian Encyclopaedia
P11643	CurseForge project ID	identifier for a project on the CurseForge website
P11644	STS program ID	page of the program, series or film on the STS website
P11645	Electronic library encyclopedia.com.ua	identifier at the encyclopedia.com.ua
P11646	Deutsche Synchronkartei person ID	identifier for persons in the synchronisation (dubbing) database Deutsche Synchronkartei
P11647	Dictionary of South African English entry ID	identifier for an entry in A Dictionary of South African English on Historical Principles
P11648	Syoboi Calendar series ID	identifier for a group of television programs on Syoboi Calendar
P11649	Malaysia Federal Legislation act ID	numerical identifier for Acts of the Parliament of Malaysia
P11650	Moscow University Herbarium ID	ID for a taxon in the Moscow Digital Herbarium
P11651	Digital Daijisen ID	identifier for an entry in Digital Daijisen on goo dictionary
P11652	Pakistan Sign Language Dictionary ID	entry in the online Pakistan Sign Language dictionary
P11653	IRIS UNICAMPUS author ID	identifier for an author in IRIS UNICAMPUS, the open-access repository of the Università Campus Bio-Medico
P11654	IRIS UNIECAMPUS author ID	identifier for an author in IRIS UNIECAMPUS, the open-access repository of the Università degli Studi eCampus
P11655	IRISanRaf author ID	identifier for an author in IRISanRaf, the open-access repository of the San Raffaele University of Rome
P11656	Epigraphik-Datenbank Clauss / Slaby ID	unique identifier for inscriptions in Epigraphik-Datenbank Clauss / Slaby database of inscriptions
P11657	NTV program ID	page of the program, series or film on the NTV website
P11658	Faber Music music ID	identifier for a musical composition on the Faber Music website
P11659	Faber Music composer ID	identifier for a composer represented by Faber Music
P11660	Boosey & Hawkes music ID	identifier for a musical work on the Boosey & Hawkes website
P11661	Wise Music Classical work ID	identifier for a work in the Wise Music Classical catalogue
P11662	IATE ID	identifier for an entry on the website iate.europa.eu
P11663	Jewish English Lexicon ID	identifier for a lexeme in the Jewish English Lexicon
P11664	Wise Music Classical composer ID	identifier for a composer represented by Wise Music Classical
P11665	Rate Your Music work ID	identifier for a musical work on Rate Your Music site
P11666	Norwegian Offshore Directorate field ID	Norwegian Offshore Directorate (NPD) identifier for oil or natural gas fields
P11667	Epson Tour player ID	page of a golfer on the Epson Tour website
P11668	Purnnachandra Ordia Bhashakosha ID	identifier for a word in the digitized version of the Purnnachandra Ordia Bhashakosha hosted by the Digital Dictionaries of South Asia
P11669	playmakerstats.com competition ID	identifier for a association football competition in the playmakerstats.com database
P11670	Electrodoc person ID	identifier for a person on the Electrodoc website
P11671	Archivarta ID	identifier of an object in the Archivarta database of cultural heritage
P11672	CassiOpeA author ID	identifier for an author in CassiOpeA, the open-access repository of the University of Cassino
P11673	IRIS UNIROMA2 author ID	identifier for an author in IRIS UNIROMA2, the open-access repository of the Tor Vergata University of Rome
P11674	IRIS UNIROMA3 author ID	identifier for an author in IRIS UNIROMA3, the open-access repository of the Università degli Studi Roma Tre
P11675	Sjøhistorie ship ID	identifier for a ship in Sjøhistorie database
P11676	electrocd artist ID	identifier for an music artist on the electrocd website
P11677	köztérkép work ID	identifier in the Hungarian public art database köztérkép
P11678	ForPost person ID	ForPost identifier for a person
P11679	Crimean virtual necropolis persons ID	Crimean virtual necropolis identifier for a person
P11680	eTK ID	identifier for Thorndike and Kibre, catalogs of incipits of medieval scientific writings in Latin
P11681	eVK2 ID	identifier for Scientific and medical writings in Old and Middle English
P11682	Ivi work ID	identifier of a creative work on Ivi.ru
P11683	Ivi person ID	ID of an actor on Ivi.ru
P11684	Saint Petersburg Conservatory person ID	personality page at the St. Petersburg Conservatory
P11685	Hungarian National Namespace organisation ID (new)	identifier for an organization in the Hungarian National Namespace
P11686	University of Barcelona authority ID	register of authorities of the University of Barcelona
P11687	Kinoglaz film ID	identifier for a film at the Kinoglaz
P11688	MobyGames game ID	identifier of a video game in the MobyGames database
P11689	MobyGames company ID	identifier of a company in the MobyGames database
P11690	MobyGames group ID	identifier of a group in the MobyGames database
P11691	Feminae record ID	numerical identifier for an entry on the Feminae website
P11692	Alexandria UniSG person ID	identifier for a person in the Alexandria database operated by the University of St. Gallen
P11693	OpenStreetMap node ID	ID of a node in OpenStreetMap for the item
P11695	literatura.lv ID	identifier of a literary person, work, award or organization on the literatura.lv website
P11696	Newguineaworld ID	identifier for a native language or language family of New Guinea on the Newguineaworld website
P11697	Ticino Scienza IBSA Foundation ID	identifier for a person in the "Ticino Scienza" archive
P11698	student retention rate	proportion of first-year students at the educational institution who return for their second year
P11699	China movable cultural relic ID	unique identifier for a movable cultural relic (cultural property) of China
P11700	JMdict sequence number	stable identifier in the Japanese Dictionary Database hosted by the Electronic Dictionary Research and Development Group (the first of the two numbers provided at the top of an entry)
P11701	TASVideos game ID	ID for a game listed on TASVideos
P11702	information sign	property for the image of a (historical or other) information sign or board
P11704	INEP ID	identifier for each Brazilian educational institution
P11705	Facebook numeric ID	numeric identifier for a Facebook page or profile
P11706	Aligulac player ID	identifier for a StarCraft II gamer on the Aligulac website
P11707	location URL match pattern	regex pattern of URL that individual shops/amenity within a chain can be matched against
P11708	U.S. Epigraphy Project ID	identifier for an item in the U.S. Epigraphy Project database
P11709	Artist Directory ID	identifier for an artist in the Artist Directory of the Museo de Arte de Puerto Rico
P11710	LIBRA Unine ID	identifier for a person in the "LIBRA" digital library of the University of Neuchâtel
P11711	Litres author ID	identifier for an author at Litres
P11712	NHF club ID	identifier for a member club in Norwegian Handball Federation
P11713	Patreon user numeric ID	numeric identifier for a user on Patreon
P11714	Team Fortress Wiki ID	identifier for a subject in the official Team Fortress Wiki
P11715	Federiciana ID	identifier for an entry in the Federiciana Encyclopedia on the website of the Institute of the Italian Encyclopaedia
P11716	Russiancinema.ru person ID	page of film personalities in the Encyclopedia of National Cinema
P11717	Aisberg author ID	identifier for an author in Aisberg, the open-access repository of the University of Bergamo
P11718	OPENBS author ID	identifier for an author in OPENBS, the open-access repository of the University of Brescia
P11719	Bicocca Open Archive author ID	identifier for an author in Bicocca Open Archive, the open-access repository of the University of Milan-Bicocca
P11720	IRInSubria author ID	identifier for an author in IRInSubria, the open-access repository of the University of Insubria
P11721	cybersport.ru player ID	identifier for a professional gamer on cybersport.ru website
P11722	Boomplay release ID	identifier for an album or EP on Boomplay
P11723	IRIS HUNIMED author ID	identifier for an author in IRIS HUNIMED, the open-access repository of the Humanitas University
P11724	IRIS UNISR author ID	identifier for an author in IRIS UNISR, the open-access repository of the Vita-Salute San Raffaele University
P11725	PubliCatt author ID	identifier for an author in PubliCatt, the open-access repository of the Università Cattolica del Sacro Cuore
P11726	FantLab dictor ID	identifier for the dictor in FantLab
P11728	Portráidí ID	identifier of a person in the Portráidí website
P11729	Kulturenvanteri.com ID	numerical identifier for a monument or heritage site in the Kulturenvanteri.com database
P11730	Warsaw Uprising insurgent ID	Powstańcze Biogramy (en. Insurgent Biographies) is a kind of online encyclopedia dedicated to the Warsaw Uprising
P11731	Dailymotion video ID	identifier of a video on Dailymotion (for channels, use P1651)
P11732	Databáze sérií ID	book series identifier in Databáze sérií
P11733	Universo del corpo ID	identifier for an item in Universo del corpo on the website of the Institute of the Italian Encyclopaedia
P11734	Enciclopedia delle scienze sociali ID	identifier for an item in the Enciclopedia delle Scienze Sociali on the website of the Institute of the Italian Encyclopaedia
P11735	AML ID	identifier for a person on the Archives et Musée de la littérature (AML) website
P11736	AniList character ID	identifier for a character on AniList
P11737	Amarkosh ID	ID for an entry in the online dictionary Amarkosh
P11738	handled, mitigated, or managed by	approach or method that can be used to address an issue or problem
P11739	Moly.hu author ID	author identifier for Moly.hu, a Hungarian social cataloging website
P11740	Podcast Index ID	ID for a podcast on Podcast Index, a podcast directory.
P11741	SINTA affiliation ID	ID for an Indonesian science and technology higher education or research institution in the Science and Technology Index (SINTA)
P11742	Hall of Light developer ID	identifier of a developer in the Hall of Light database of Amiga video games
P11743	Hall of Light publisher ID	identifier of a publisher in the Hall of Light database of Amiga video games
P11744	Hall of Light artist ID	identifier of an artist in the Hall of Light database of Amiga video games
P11745	Kinoglaz person ID	identifier for a person on the Kinoglaz website
P11746	Michaelis ID	identifier for entries in the Michaelis Portuguese dictionary
P11747	holds diplomatic passport of	country of the diplomatic passport held by the person
P11748	Kino1TV ID	identifier of a streaming online video on Kino1TV
P11749	Channel One Russia Worldwide program ID	program page on the CORW website
P11750	LSJ Wiki ID	identifier for a lexeme in lsj.gr
P11753	Wastewater treatment plant in France ID	identifier for wastewater treatment plant in France
P11754	Musées Grand Est artwork ID	identifier for an artwork in the Musées Grand Est online database
P11755	INSPIRE-HEP literature ID	identifier for literature in INSPIRE-HEP, a major database for high energy physics
P11756	Musée Fabre ID	identifier for an artwork on the Musée Fabre website
P11757	Arabic Ontology form ID	identifier for a word form in the Birzeit University Arabic Ontology database of morphologic entities
P11758	WPGA Tour Australasia player ID	identifier for a player at the WPGA Tour Australasia
P11759	Technic Platform modpack ID	identifier for a Minecraft modpack on technicpack.net
P11760	Tatoeba sentence ID	identifier for a sentence at tatoeba.org
P11761	Quranic Arabic Corpus root id	identifier for an Arabic root in the Quranic Arabic Corpus
P11762	Britannica Kids kids level article ID	identifier of a kids level (up to grade 5) article in Britannica Kids
P11764	Britannica Kids students level article ID	identifier of a students level (grades 6-8) article in Britannica Kids
P11765	Britannica Kids scholars level article ID	identifier of a scholars level (grade 9 and up) article in Britannica Kids
P11767	TOOI identifier	identifier for a government organization in the Dutch TOOI database
P11768	Chess Programming Wiki ID	identifier in the Chess Programming Wiki
P11769	Bohemian Lands MP ID	ID in the database of all MPs elected to representative assemblies in the Bohemian lands 1848–1992
P11770	Qobuz album ID	identifier for an album in the Qobuz store
P11771	GamersGlobal game ID	identifier of a video game in the GamersGlobal database
P11772	Atlante Geopolitico ID	identifier for an item in the Atlante Geopolitico on the website of the Institute of the Italian Encyclopaedia
P11773	Dizionario dei prodotti DOP e IGP ID	identifier for an item in Dizionario dei prodotti DOP e IGP on the website of the Institute of the Italian Encyclopaedia
P11774	FrameNet Lexical Unit ID	identifier of a lexical sense in FrameNet
P11775	Météo-France weather station ID	identifier of a Météo-France weather station (national meteorological service of France)
P11776	Wood Database ID	identifier for a type of wood in The Wood Database
P11780	Humanities Commons member ID	identifier for a member on hcommons.org (Q28123024)
P11781	Shipbucket ID	identifier for drawings of ships, vehicles, aircraft and equipment
P11782	MEL residence ID	identifier for a writer residence on the website of the MEL
P11783	JMA weather station ID	weather station ID in Japan
P11784	Soprintendenza Speciale di Roma place ID	identifier for a place on the website of the Soprintendenza Speciale Archeologia Belle Arti e Paesaggio di Roma
P11785	iconically alludes to	item that is iconically represented in the execution of this lexeme
P11786	GamesRadar+ ID	identifier of a video game in the GamesRadar+ database
P11787	L'Histoire par l'image ID	identifier for an entry on the L'Histoire par l'image website
P11788	Napster release ID	identifier for an album on Napster
P11789	Xbox Games Store ID (Xbox 360)	identifier of Xbox 360 video game in the Xbox Games Store database
P11790	Clavis Historicorum Antiquitatis Posterioris author ID	author identifier in the Clavis Historicorum Antiquitatis Posterioris database
P11791	Global Smash Roster fighter ID	identifier of fighter in the Global Smash Roster database
P11792	RAWG developer ID	identifier of a video game developer in the RAWG database
P11793	RAWG publisher ID	identifier of a video game publisher in the RAWG database
P11794	Qualigeo ID	identifier for a food product on the online database Qualigeo (qualigeo.eu)
P11795	Kress Collection Digital Archive ID	identifier for an artwork in museums throughout the world on the Kress Collection Digital Archive website
P11796	time of periapsis	the time at which the orbit of an object in space, typically a planet or a satellite, goes through its periapsis
P11797	matched by identifier from	this external ID was added because the following link was presented in both the external database and the Wikidata item
P11798	Diritto on line ID	identifier for an item in Diritto on line on the website of the Institute of the Italian Encyclopaedia
P11799	alternate universe counterpart	this fictional character/entity is an alternate universe counterpart of the subject
P11800	stats.fm artist ID	identifier for a musical artist or group on stats.fm
P11801	visited by	organisms attracted by this plant taxon and reported to visit it
P11802	Zeno.org ID	identifier for an entry on zeno.org
P11803	World Arachnid Catalog ID	identifier for taxon in the World Arachnid Catalog
P11804	Springs and Fountains of Andalucía ID	identifier for sources and springs in the database of Springs and Sources of Andalusia
P11805	TMDB collection ID	identifier for a film series at The Movie Database
P11806	TMDB company ID	identifier for a company at The Movie Database
P11807	WGA work ID	identifier of an artwork on the Web Gallery of Art website
P11810	Mastodon instance URL	the Mastodon instance of/about the subject
P11811	beforehand owned by	person or institution that owned the subject just before stated event. Meant to be used as qualifier of "significant event (P793)" for events like sales, auctions, gifts, etc
P11812	afterward owned by	person or institution that owned the subject after stated event. Meant to be used as qualifier of "significant event (P793)" for events like sales, auctions, gifts, etc
P11813	solubility product constant	equilibrium constant for a sparingly soluble solid chemical substance dissolved in an aqueous solution
P11814	funded by grant	title or name of the grant funding this item
P11815	Peacock ID	identifier for a creative work on Peacock
P11816	theCrag ID	identifier for a climbing area or route on the “thecrag.com” website
P11817	SEC Kerala code	code by State Election Commission (Kerala)
P11818	Modern History Database person ID	ID of a person from Modern History Database by Institute of Modern History, Academia Sinica
P11819	Netflix person ID	identifier for a person on Netflix
P11820	Enciclopedia machiavelliana ID	identifier for an item in the Enciclopedia machiavelliana on the website of the Institute of the Italian Encyclopaedia
P11821	quality is the result of process	quality that this process/activity directly correlates to and produces
P11822	PM20 film section ID	section of 20th Century Press Archives microfilm(s) about the current item
P11823	The Homicide Report person ID	identifier for a homicide in Los Angeles County recorded by the Los Angeles Times' The Homicide Report project
P11824	KPU Plant Database ID	identifier for a plant taxon in the KPU Plant Database of the Kwantlen Polytechnic University School of Horticulture
P11825	LiteraturPort autorenlexikon ID	identifier of an author in LiteraturPort
P11826	Media Library for Dance and Theatre person ID	identifier in Mime Centrum archive
P11827	documenta archiv ID	identifier for a person or an artist group in the documenta archiv
P11828	Marsilio Editori author ID	identifier for an author in the database of the Italian publisher Marsilio
P11829	Plant Finder ID (Chicago Botanic Garden)	identifier of a plant taxon in the Chicago Botanic Garden's Plant Finder database
P11830	Israel Composers' League composer ID	identifier for a composer on the Israel Composers' League website
P11831	Alabama Authors ID	identifier in the Alabama Authors database for authors who have some connection to the state of Alabama
P11832	satellite view	image of the subject taken from outer space
P11833	PremiershipRugby.com player ID (new)	identifier for a player on the PremiershipRugby.com website
P11834	Professor at Cologne univ. ID	biographical entry in the Galerie der Professorinnen und Professoren der Universität zu Köln
P11835	Numista ruling authority ID	unique identifier for a period, ruler, government or institution on Numista
P11836	Suomen etymologinen sanakirja ID	identifier for an entry in the Finnish etymological dictionary published by Kotus
P11837	Suomen murteiden sanakirja ID	identifier for an entry in the Finnish dialect dictionary published by Kotus
P11838	Svenska Akademiens ordlista ID	identifier for a word in the wordlist published by the Swedish Academy as hosted on svenska.se
P11840	French sports venue number	identifier for a sports venue assigned by the French ministry of sports
P11841	Challenges billionaire ID	numerical identifier for a billionaire on the website of the French magazine Challenges
P11842	Intangible cultural heritage ID by the Austrian UNESCO commission	this property allows the language independent access to the individual descriptions in the inventory of intangible cultural heritage as listed by the Austrian UNESCO commission
P11843	mosff.ru player ID	identifier for a player at the mosff.ru
P11845	Austadiums ID	identifier for a sports stadium at the Austadiums website
P11846	Akadem organization ID (former scheme)	identifier for an organization in Akadem
P11847	Zeneszöveg.hu international artist ID	identifier for an international artist on Zeneszöveg.hu site
P11848	Azerbaijani National Encyclopedia ID	article identifier in the Azerbaijan National Encyclopedia
P11849	first performance by	performer or performing group for the first performance of a work
P11850	Encyclopedia.com ID	identifier of item within Encyclopedia.com
P11851	record of	state or event an object is a physical representation of
P11852	QLIT ID	identifier for an authorized term in Queerlit database
P11853	Biographical Dictionary of Foreign Kartvelologists of Georgia ID	Identifier for a person in the Biographical Dictionary of Foreign Kartvelologists of Georgia
P11854	Politique pappers identifier	identifier for a law on the website Politique Pappers
P11855	altesdresden.de object ID	Identificator on altesdresden.de
P11856	BFM.ru person ID	BFM.ru identifier for a person
P11857	beachsoccer.com player ID	identifier for a player at the BSWW
P11858	National Science Foundation award	identifier for grants from the United States National Science Foundation
P11859	BIBFRAME Hub ID	identifier for a BIBFRAME Hub description from the Library of Congress Catalog, primarily generated by converting the Library's MARC Bibliographic records and MARC title authority records to BIBFRAME Hub descriptions
P11860	elibrary.ru article ID	identifier for separate publication at the eLibrary.Ru
